@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
49,'2018/02/25 22:19:49:255',1,-0.318953,-0.203009,-0.106524,0.498039,0.513726,0.501961,0.521569,0.552941,0.509804,0.494118,0.494118,?,0.5
50,'2018/02/25 22:19:49:285',1,-0.318953,-0.203009,-0.106524,0.494118,0.501961,0.517647,0.498039,0.482353,0.498039,0.490196,0.486275,?,0.5
51,'2018/02/25 22:19:49:309',1,-0.318953,-0.203009,-0.106524,0.494118,0.513726,0.52549,0.498039,0.478431,0.486275,0.494118,0.494118,?,0.5
52,'2018/02/25 22:19:49:334',1,-0.318489,-0.203047,-0.106191,0.494118,0.478431,0.478431,0.501961,0.470588,0.486275,0.494118,0.494118,?,0.5
53,'2018/02/25 22:19:49:361',1,-0.31793,-0.202895,-0.105516,0.490196,0.482353,0.482353,0.470588,0.478431,0.498039,0.494118,0.498039,?,0.5
54,'2018/02/25 22:19:49:387',1,-0.317468,-0.202689,-0.105218,0.494118,0.486275,0.466667,0.501961,0.513726,0.494118,0.498039,0.490196,?,0.5
55,'2018/02/25 22:19:49:417',1,-0.316576,-0.202219,-0.104252,0.498039,0.509804,0.54902,0.54902,0.647059,0.541176,0.509804,0.505882,?,0.5
56,'2018/02/25 22:19:49:454',1,-0.315813,-0.201758,-0.103274,0.498039,0.501961,0.533333,0.513726,0.576471,0.505882,0.494118,0.490196,?,0.5
57,'2018/02/25 22:19:49:601',1,-0.315502,-0.2014,-0.102735,0.494118,0.490196,0.482353,0.470588,0.443137,0.482353,0.494118,0.494118,?,0.5
58,'2018/02/25 22:19:49:602',1,-0.315502,-0.2014,-0.102735,0.498039,0.494118,0.517647,0.478431,0.505882,0.490196,0.494118,0.494118,?,0.5
59,'2018/02/25 22:19:49:602',1,-0.315513,-0.20138,-0.102612,0.494118,0.494118,0.498039,0.478431,0.494118,0.501961,0.494118,0.498039,?,0.5
60,'2018/02/25 22:19:49:602',1,-0.315513,-0.20138,-0.102612,0.490196,0.498039,0.490196,0.482353,0.454902,0.478431,0.490196,0.490196,?,0.5
61,'2018/02/25 22:19:49:602',1,-0.315319,-0.201172,-0.102168,0.501961,0.498039,0.486275,0.494118,0.466667,0.490196,0.501961,0.490196,?,0.5
62,'2018/02/25 22:19:49:602',1,-0.315329,-0.201274,-0.102027,0.494118,0.498039,0.501961,0.498039,0.498039,0.494118,0.486275,0.498039,?,0.5
63,'2018/02/25 22:20:01:893',2,-0.406296,-0.239553,0.624571,0.494118,0.466667,0.419608,0.486275,0.498039,0.494118,0.490196,0.498039,?,0
64,'2018/02/25 22:20:01:919',2,-0.406265,-0.239457,0.624557,0.498039,0.490196,0.521569,0.490196,0.490196,0.494118,0.498039,0.494118,?,0
65,'2018/02/25 22:20:01:952',2,-0.406208,-0.239307,0.623843,0.494118,0.447059,0.458824,0.501961,0.501961,0.498039,0.486275,0.494118,?,0
